date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:09	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Oct%202018%2012:23:08%20GMT	http://mrxiao.cc/robots.txt		(from )
20:23:09	2654/2654	---M-Z	200	added ('OK')	text/html	etag:%22821bee-a5e-577d572441b33%22	http://mrxiao.cc/music/	C:/My%20Websites/http___mrxiao.cc_music_/mrxiao.cc/music/index.html	(from )
20:23:09	2631/2631	---M--	200	added ('OK')	image/png	etag:%22821bed-a47-575205e7e0386%22	http://mrxiao.cc/music/icon.png	C:/My%20Websites/http___mrxiao.cc_music_/mrxiao.cc/music/icon.png	(from http://mrxiao.cc/music/)
20:23:10	1828/1828	---M--	200	added ('OK')	text/css	etag:%22821bec-724-575205e74d3f6%22	http://mrxiao.cc/music/shared/sp/css/common.css	C:/My%20Websites/http___mrxiao.cc_music_/mrxiao.cc/music/shared/sp/css/common.css	(from http://mrxiao.cc/music/)
20:23:10	2809/2809	---M--	200	added ('OK')	text/css	etag:%22821be6-af9-575205e37a7ce%22	http://mrxiao.cc/music/css/mikutap.css	C:/My%20Websites/http___mrxiao.cc_music_/mrxiao.cc/music/css/mikutap.css	(from http://mrxiao.cc/music/)
20:23:10	85578/85578	---MCZ	200	added ('OK')	application/javascript	etag:W/%225aa7d624-14e4a%22	https://cdnjs.loli.net/ajax/libs/jquery/2.2.4/jquery.min.js	C:/My%20Websites/http___mrxiao.cc_music_/cdnjs.loli.net/ajax/libs/jquery/2.2.4/jquery.min.js	(from http://mrxiao.cc/music/)
20:23:10	292642/292642	---MCZ	200	added ('OK')	application/javascript	etag:W/%225aa7d6dc-47722%22	https://cdnjs.loli.net/ajax/libs/pixi.js/3.0.11/pixi.min.js	C:/My%20Websites/http___mrxiao.cc_music_/cdnjs.loli.net/ajax/libs/pixi.js/3.0.11/pixi.min.js	(from http://mrxiao.cc/music/)
20:23:12	26367/26367	---M--	200	added ('OK')	application/javascript	etag:%22821beb-66ff-575205e75ed36%22	http://mrxiao.cc/music/shared/js/common-2.min.js	C:/My%20Websites/http___mrxiao.cc_music_/mrxiao.cc/music/shared/js/common-2.min.js	(from http://mrxiao.cc/music/)
20:23:14	24557/24557	---M--	200	added ('OK')	application/javascript	etag:%22821be8-5fed-575205e56a17e%22	http://mrxiao.cc/music/js/mikutap.min.js	C:/My%20Websites/http___mrxiao.cc_music_/mrxiao.cc/music/js/mikutap.min.js	(from http://mrxiao.cc/music/)
20:23:14	112880/112880	---MCZ	200	added ('OK')	application/javascript	etag:W/%225aa7d5f6-1b8f0%22	https://cdnjs.loli.net/ajax/libs/gsap/1.19.1/TweenMax.min.js	C:/My%20Websites/http___mrxiao.cc_music_/cdnjs.loli.net/ajax/libs/gsap/1.19.1/TweenMax.min.js	(from http://mrxiao.cc/music/)
